universityName,departmentName,ratioKo,ratioMath,ratioEn,ratioTg,cutoffPercentile70,recruitCount,competitionRate,additionalRank,koreanCut70,mathCut70,tamguCut70,region,admissionGroup,dataSource
강남대학교,상경학부,0.25,0.3,0.2,0.25,71.2,48,5.28,64,56.0,83.0,73.0,경기,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강남대학교,상경학부(야),0.25,0.3,0.2,0.25,65.8,34,7.69,24,56.0,66.0,70.5,경기,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강남대학교,유아교육과,0.3,0.25,0.2,0.25,56.0,13,5.5,14,77.0,37.0,55.0,경기,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강남대학교,인공지능융합공학부,0.2,0.35,0.15,0.3,64.0,37,6.38,61,60.0,85.0,55.5,경기,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강남대학교,자유전공학부,0.2,0.35,0.15,0.3,71.8,56,8.06,74,70.0,63.0,77.0,경기,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강남대학교,전자반도체공학부,0.2,0.35,0.15,0.3,63.2,37,4.43,35,61.0,83.0,54.5,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강남대학교,중등특수교육과,0.3,0.25,0.2,0.25,68.5,5,4.2,3,83.0,29.0,81.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강남대학교,초등특수교육과,0.3,0.25,0.2,0.25,66.5,5,5.8,4,60.0,78.0,64.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강남대학교,컴퓨터공학부,0.2,0.35,0.15,0.3,54.8,38,6.5,46,14.0,81.0,62.0,경기,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강서대학교,G2빅데이터경영학과,0.2,0.35,0.15,0.3,73.0,5,8.4,4,,,,서울,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강서대학교,간호학과,0.2,0.35,0.15,0.3,76.0,6,7.67,3,,,,서울,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강서대학교,사회복지학과,0.3,0.25,0.2,0.25,70.0,7,7,13,,,,서울,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강서대학교,상담심리학과,0.3,0.25,0.2,0.25,77.0,5,9,8,,,,서울,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강서대학교,식품영양학과,0.2,0.35,0.15,0.3,73.0,6,8,15,,,,서울,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강서대학교,신학과,0.3,0.25,0.2,0.25,66.0,6,5,11,,,,서울,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,간호학과,0.2,0.35,0.15,0.3,80.2,28,3.14,10,70.0,74.0,88.5,강원,,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,건축·토목·환경공학부,0.2,0.35,0.15,0.3,64.5,30,4.97,17,49.0,81.0,64.0,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,건축학과(5년제),0.2,0.35,0.15,0.3,72.2,7,5.29,4,58.0,78.0,76.5,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,경영·회계학부,0.3,0.25,0.2,0.25,76.2,55,6.29,29,75.0,56.0,87.0,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,경영대학 무전공학과,0.2,0.35,0.15,0.3,71.0,12,6.17,6,79.0,57.0,74.0,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,경제·정보통계학부,0.2,0.35,0.15,0.3,77.8,19,6.11,10,77.0,54.0,90.0,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,관광경영학과,0.3,0.25,0.2,0.25,72.5,6,5.17,1,72.0,46.0,86.0,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,국제무역학과,0.3,0.25,0.2,0.25,71.2,9,6.78,5,75.0,57.0,76.5,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,기계의용· 메카트로닉스공학과,0.2,0.35,0.15,0.3,64.5,25,4.64,17,58.0,83.0,58.5,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,동물산업융합학과,0.25,0.3,0.2,0.25,64.0,9,5.89,5,67.0,81.0,54.0,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,동물응용과학과,0.2,0.35,0.15,0.3,69.2,9,4.44,7,86.0,74.0,58.5,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,동물자원과학과,0.2,0.35,0.15,0.3,68.2,12,7.33,6,63.0,70.0,70.0,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강원대학교,문화인류학과,0.3,0.25,0.2,0.25,72.8,6,9.83,3,56.0,83.0,76.0,강원,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
