region,universityName,admissionGroup,departmentName,recruitCount,competitionRate,additionalRank,koreanCut70,mathCut70,tamguCut70,percentile70,ratioKor,ratioMath,ratioEng,ratioTam
경기,경기대학교,나군,공공인재학부,29,5.82,31,80.0,70.0,78.0,76.0,0.25,0.3,0.2,0.25
경기,경기대학교,나군,국어국문학과,16,6.93,8,82.0,70.0,69.0,73.7,0.3,0.25,0.2,0.25
경기,경기대학교,나군,글로벌어문학부,21,11.42,13,79.0,63.0,87.0,76.3,0.3,0.25,0.2,0.25
경기,경기대학교,다군,기계시스템공학과,2,7.50,2,56.0,76.0,73.0,68.3,0.2,0.35,0.15,0.3
경기,경기대학교,나군,무역학과,27,9.25,14,92.0,66.0,55.0,71.0,0.3,0.25,0.2,0.25
경기,경기대학교,나군,문헌정보학과,5,11.80,7,67.0,78.0,89.0,78.0,0.2,0.35,0.15,0.3
경기,경기대학교,나군,바이오융합학부,15,7.53,25,70.0,87.0,83.0,80.0,0.2,0.35,0.15,0.3
경기,경기대학교,나군,법학과,15,8.53,9,75.0,70.0,95.0,80.0,0.3,0.25,0.2,0.25
경기,경기대학교,나군,사학과,10,9.20,23,79.0,68.0,71.0,72.7,0.3,0.25,0.2,0.25
경기,경기대학교,가군,사회과학대학 (통합),48,10.16,58,89.0,70.0,71.0,76.7,0.2,0.35,0.15,0.3
경기,경기대학교,나군,산업경영공학과,21,7.14,19,70.0,81.0,75.0,75.3,0.2,0.35,0.15,0.3
경기,경기대학교,나군,소프트웨어 경영대학(통합),35,5.20,52,72.0,74.0,89.0,78.3,0.2,0.35,0.15,0.3
경기,경기대학교,나군,수학과,5,6.40,4,82.0,74.0,66.0,74.0,0.2,0.35,0.15,0.3
